,drug-gene,dependency path,Drug-Gene Pair Cluster,Dependency Path Cluster
0,(rc-160/igf-i),"[prep_with, treatments, prep_to, resistant, nsubj, cells, rcmod, activated, nsubjpass, receptor, appos]",28.0,55.0
1,(tnf-r2/tnf-r1),"[nsubj, interfere, prep_by]",0.0,10.0
2,(tiludronate/vegf),"[infmod, patients, nn]",18.0,0.0
3,(il-11/il-10),"[nsubj, interacts, prep_with, receptor, appos]",0.0,64.0
4,(il-2/il-5),"[nn, administration, prep_to, mice, amod]",0.0,95.0
5,(actd/actc),"[prep_of, use, appos, inhibitor, nn]",18.0,87.0
6,(il-11/il-16),"[nn, synthase, prep_of, expression, appos]",4.0,0.0
7,(fgf-7/fgf-2),"[amod, plasminogen, amod, gene, appos]",0.0,27.0
8,(urokinase/fmlp),"[prep_for, receptor, appos]",22.0,0.0
9,(clopidogrel/p-selectin),"[nsubj, caused, prep_in, levels, nn]",1.0,92.0
10,(fgf-7/fgf-1),"[prep_with, inhibitor, appos]",14.0,29.0
11,(il-11/il-13),"[amod, promoter, appos]",26.0,20.0
12,(cd120b/cd120a),"[nsubj, induced, dobj, increase, prep_in, expression, nn]",14.0,0.0
13,(isoflurane/caspase-3),"[appos, modulator, nn]",20.0,0.0
14,(estradiol/bmpr1a),"[amod, agonist, amod]",20.0,57.0
15,(duloxetine/icer),"[agent, upregulated, nsubjpass, mrna, nn]",22.0,0.0
16,(zuclopenthixol/cyp2d6),"[prep_on, function, amod]",19.0,20.0
17,(doxycycline/smad7),"[prep_with, treatment, prep_of, mice, nn]",14.0,0.0
18,(il-2/il-1),"[nn, group, prep_in, higher, nsubj]",0.0,85.0
19,(corticosteroids/leukotriene),"[prep_on, modulation, prep_of]",22.0,10.0
20,(aminopterin/tangier),"[prep_into, metabolized, agent]",2.0,0.0
21,(il-11/il-18),"[prep_such_as, ligands, nn]",2.0,24.0
22,(il-11/il-17),"[nsubj, antagonised, dobj, response, amod]",10.0,10.0
23,(tolbutamide/niddm),"[nsubj, drugs, nn]",6.0,10.0
24,(budesonide/galectin-7),"[appos, inhibitor, nsubj, blocks, dobj, phosphorylation, nn]",8.0,85.0
25,(collagenase/cartilage-derived),"[nsubj, binding, prep_to]",3.0,57.0
26,(pge2/pgd2),"[nsubj, alter, dobj, mrna, amod]",0.0,65.0
27,(losartan/urat1),"[nsubj, increased, dobj, level, nn]",19.0,57.0
28,(aldosterone/bmp-6),"[nn, resistance, prep_to, contribute, nsubj]",29.0,57.0
29,(il-11/il-27),"[dobj, received, prep_without]",23.0,10.0
30,(metformin/kcnq1),"[nsubj, causes, prepc_by, inhibiting, dobj]",14.0,119.0
31,(tamoxifen/af-1),"[prep_to, exposed, nsubjpass, cells, nn]",18.0,84.0
32,(forskolin/sf-1),"[nsubj, has, prep_in, contrast, prep_to]",26.0,91.0
33,(fluorescein/p-gp),"[prep_such_as, inhibitors, appos]",18.0,57.0
34,(melatonin/p130),"[nsubj, decreased, pobj]",14.0,0.0
35,(everolimus/egfr),"[prep_with, determined, dobj, structure, prep_of]",28.0,92.0
36,(nadh/nad1),"[nsubj, inhibitor, dep, inhibitor, nn]",27.0,20.0
37,(nadh/nad2),"[amod, element, nn]",27.0,10.0
38,(nadh/nad3),"[prep_with, relevant, advcl, studied, dobj, effect, prep_of, genotype, amod]",27.0,64.0
39,(mitoxantrone/abcg2),"[prep_of, case, prep_in]",21.0,57.0
40,(nadh/nad4),"[nsubj, inhibits, dobj, influx, amod]",27.0,10.0
41,(brompheniramine/herg),"[nn, treatment, prep_after, changed, nsubjpass, expression, nn]",2.0,56.0
42,(pge2/pges),"[nsubj, effective, dep]",0.0,57.0
43,(pgi2/pgis),"[nn, acetate, amod]",0.0,10.0
44,(tamoxifen/ptpro),"[amod, sulfate, appos, substrate, prep_of]",25.0,39.0
45,(pitavastatin/nf-kappab),"[nsubj, blocked, prep_in, expression, nn]",20.0,0.0
46,(naproxen/il-1),"[prep_with, treated, advcl, decreased, nsubjpass, levels, amod]",23.0,121.0
47,(sevoflurane/cd36),"[xsubj, release, dobj]",7.0,10.0
48,(sevoflurane/ap-1),"[nn, resistance, nn]",9.0,0.0
49,(cyclosporin/bcrp),"[amod, hydroxylation, appos]",15.0,123.0
50,(isotretinoin/mmp-13),"[agent, reduced, nsubjpass, levels, prep_of]",18.0,68.0
51,(bleomycin/polq),"[nsubj, blocked, dobj, ability, prep_of]",2.0,19.0
52,(pge2/roat1),"[prep_of, effect, dobj, determine, prep_on, activity, amod]",14.0,0.0
53,(sulfasalazine/spla2),"[prep_of, effects, nn]",26.0,86.0
54,(topotecan/vegf),"[nsubjpass, metabolized, prep_to, extent, prep_by]",2.0,0.0
55,(noradrenaline/endothelin-1),"[nsubj, inhibited, dobj, current, nn]",0.0,10.0
56,(melatonin/p100),"[prep_of, target, prep_of, inhibitor, appos]",2.0,54.0
57,(warfarin/ml-1),"[amod, prolactin, amod, sulfate, appos, globulin, appos]",14.0,0.0
58,(arsenite/parp),"[amod, dehydroepiandrosterone, amod, sulfate, prep_of, concentrations, appos, globulin, appos]",11.0,60.0
