,Drug-Gene,Drug-Gene Cluster,Dependency Path,Dependency path Cluster
0,(flavopiridol/nf-kappab),7.0,"[prep_than, potent, nsubj]",68.0
1,(tnf-r2/tnf-r1),7.0,"[nsubj, caused, dobj, inhibition, prep_of]",52.0
2,(il-2/il-5),0.0,"[nsubj, reduced, dobj, expression, amod]",115.0
3,(il-11/il-10),18.0,"[nsubj, stimulates, dobj, activity, amod]",53.0
4,(fgf-7/fgf-2),18.0,"[nsubj, inhibits, dobj, activity, amod]",95.0
5,(clopidogrel/p-selectin),3.0,"[nsubj, caused, prep_in, mrna, nn]",95.0
6,(fgf-7/fgf-1),18.0,"[prep_in, absence, prep_of]",92.0
7,(il-11/il-13),2.0,"[nn, activity, nn]",104.0
8,(propranolol/beta2),0.0,"[nsubj, ligand, prep_for]",116.0
9,(isoflurane/caspase-3),25.0,"[prep_of, absence, prep_in]",95.0
10,(indomethacin/phospholipase),12.0,"[agent, induced, nsubjpass, expression, nn]",65.0
11,(anti-il-2/cd25),11.0,"[prep_for, receptor, appos]",65.0
12,(zuclopenthixol/cyp2d6),17.0,"[dep, hormone, appos]",9.0
13,(doxycycline/smad7),24.0,"[nsubj, caused, prep_in, levels, nn]",104.0
14,(il-2/il-1),0.0,"[nsubj, regulates, dobj]",94.0
15,(corticosteroids/leukotriene),16.0,"[nsubj, antagonist, prep_of]",95.0
16,(gliclazide/niddm),5.0,"[appos, antibody, partmod, directed, prep_against]",5.0
17,(tolbutamide/niddm),2.0,"[appos, modulator, nn]",9.0
18,(dipyridamole/pde5),28.0,"[prep_on, function, amod]",63.0
19,(geldanamycin/hsp90),6.0,"[prep_by, activation, nn]",30.0
20,(melatonin/bcl-2),8.0,"[agent, enhanced, nsubjpass, expression, prep_of]",1.0
21,(carbamates/faah),17.0,"[nn, stimulates, nsubj]",18.0
22,(pge2/pgd2),19.0,"[nsubj, had, dobj, effect, prep_on, activity, amod]",20.0
23,(losartan/urat1),28.0,"[prep_such_as, ligands, nn]",18.0
24,(aldosterone/bmp-6),13.0,"[appos, csf, appos]",89.0
25,(gm-csf/il-13),18.0,"[nn, beta, dep]",61.0
26,(prostacyclin/cox-1),20.0,"[appos, acid, amod]",95.0
27,(astemizole/cyp2j2),28.0,"[agent, blocked, nsubjpass, effects, prep_of]",59.0
28,(prostacyclin/cox-2),7.0,"[prep_of, levels, nn]",0.0
29,(gm-csf/il-15),18.0,"[amod, metabolism, prep_in, involved, nsubjpass]",59.0
30,(amiloride/kallikrein),0.0,"[prep_of, pharmacokinetics, prep_on]",0.0
31,(diphenhydramine/cyp2d6),23.0,"[appos, agonists, amod]",114.0
32,(gm-csf/il-10),4.0,"[appos, hormone, appos]",108.0
33,(valsartan/adiponectin),9.0,"[xsubj, interact, prep_with]",102.0
34,(forskolin/sf-1),25.0,"[amod, hormone, appos]",51.0
35,(gm-csf/il-11),8.0,"[nsubjpass, transported, agent]",70.0
36,(il-11/gm-csf),0.0,"[amod, secretion, appos]",4.0
37,(capecitabine/dlts),24.0,"[nsubj, factor, appos]",70.0
38,(pranlukast/cyslt1),0.0,"[appos, ngf, appos]",79.0
39,(cetuximab/egfr),7.0,"[prep_as, inhibitor, amod]",70.0
40,(gm-csf/il-18),4.0,"[nn, treatment, nsubj, increased, dobj, levels, prep_of]",7.0
41,(cysteamine/gastrin),5.0,"[prep_such_as, inhibitors, appos]",44.0
42,(nadh/nad1),20.0,"[agent, induction, partmod]",73.0
43,(nadh/nad3),20.0,"[nsubj, blocked, dobj, phosphorylation, prep_of]",89.0
44,(telmisartan/abca1),27.0,"[nsubj, inducer, amod]",72.0
45,(abciximab/p-selectin),22.0,"[nsubj, substrate, prep_for]",0.0
46,(capsaicin/ppargamma),3.0,"[amod, levels, nn]",0.0
47,(mitoxantrone/abcg2),15.0,"[amod, activator, appos]",94.0
48,(nadh/nad4),20.0,"[amod, gene, appos]",104.0
49,(vinblastine/mdr1),14.0,"[prep_such_as, inhibitors, nn]",10.0
50,(glyburide/cyp2c9),27.0,"[nsubj, suppressed, dobj]",95.0
51,(pgi2/pgis),20.0,"[prep_with, inhibited, nsubjpass]",120.0
52,(pge2/pges),22.0,"[prep_by, inhibited, nsubj, activity, prep_of]",9.0
53,(pitavastatin/nf-kappab),11.0,"[prep_of, effect, dobj, investigate, prep_on, expression, prep_of]",17.0
54,(glibenclamide/cftr),1.0,"[prep_in, deferentia, nn]",94.0
55,(genistein/ifn-gamma),19.0,"[dep, antagonists, nn]",9.0
56,(atra/mef2c),5.0,"[nsubj, regulate, dobj, expression, prep_of]",82.0
57,(cyclosporine/statin),25.0,"[nsubj, reduced, dobj, levels, prep_of]",94.0
58,(genistein/aromatase),17.0,"[nsubj, induce, dobj, expression, prep_of]",59.0
59,(vardenafil/pde5),1.0,"[appos, expression, nn]",88.0
60,(lansoprazole/ho-1),27.0,"[nsubj, induced, dobj, expression, amod]",65.0
61,(noradrenaline/endothelin-1),19.0,"[nsubj, blocked, dobj, expression, amod]",94.0
62,(il-2/nf-kappab),20.0,"[prep_of, levels, amod]",59.0
63,(arsenite/parp),21.0,"[prep_with, labeled, nsubj, antibodies, num]",62.0
64,(flutamide/lhrh),16.0,"[nsubj, had, dobj, effect, prep_on, expression, prep_of]",94.0
65,(d-amphetamine/amph),18.0,"[nsubj, blocked, prep_in, expression, nn]",94.0
66,(lovastatin/cyp3a4),15.0,"[prep_of, effect, dobj, examined, prep_on, expression, nn]",115.0
67,(topotecan/dlts),24.0,"[dep, agonist, amod]",56.0
68,(suramin/vegf),9.0,"[agent, induced, nsubjpass, expression, amod]",59.0
69,(hydroquinone/dt-diaphorase),5.0,"[appos, antagonists, nn]",114.0
70,(dexamethasone/lactase),0.0,"[amod, phenytoin, amod, losartan, prep_including, drugs, dobj, metabolizes, nsubj]",0.0
71,(tamoxifen/heparanase),22.0,"[nn, treatment, amod]",43.0
72,(tamoxifen/her-2),5.0,"[prep_of, effect, dobj, investigate, prep_on, expression, amod]",107.0
73,(risperidone/cyp2d6),17.0,"[nsubj, had, prep_to]",69.0
74,(staurosporine/hsp27),24.0,"[nsubj, suppresses, dobj, expression, nn]",70.0
75,(atorvastatin/pcsk9),25.0,"[nn, binding, prep_to]",21.0
76,(promethazine/herg),24.0,"[nsubj, produced, prep_in]",107.0
77,(sildenafil/copd),6.0,"[agent, suppressed, nsubjpass, expression, prep_of]",13.0
78,(rituximab/bcl-2),3.0,"[nsubj, suppresses, dobj, expression, amod]",4.0
79,(lovastatin/p21ras),1.0,"[prep_of, activity, amod]",7.0
80,(fenofibrate/ldlr),22.0,"[prep_such_as, agonists, amod]",116.0
81,(pge2/pga1),4.0,"[nsubj, inhibits, dobj, expression, amod]",117.0
82,(melatonin/gnrh),18.0,"[nsubj, antibody, partmod, directed, prep_against]",7.0
83,(cimetidine/cyp3a),23.0,"[nsubj, stimulated, dobj, expression, amod]",21.0
84,(5-asa/inos),24.0,"[prep_by, inhibition, appos]",13.0
85,(rabeprazole/mucin),27.0,"[prep_like, inhibitors, amod]",70.0
86,(dexamethasone/icam-1),1.0,"[dep, peptide, amod]",21.0
87,(clenbuterol/beta2),16.0,"[appos, activator, appos]",7.0
88,(rosiglitazone/pepck),20.0,"[appos, one, prep_of, inhibitors, nn]",107.0
89,(oltipraz/nrf2),7.0,"[amod, antagonists, appos]",69.0
90,(doxazosin/alpha1),0.0,"[amod, substrates, nn]",57.0
91,(cyclosporin/cox-2),6.0,"[xsubj, substrate, prep_of]",21.0
92,(ddavp/p-selectin),5.0,"[prep_with, activation, amod]",70.0
93,(troglitazone/ppargamma),0.0,"[dobj, received, nsubj, patients, prep_with]",107.0
94,(curcumin/ho-1),29.0,"[appos, antagonist, appos]",68.0
95,(propofol/beta-endorphin),3.0,"[nsubj, inhibitor, prep_of, activity, amod]",13.0
96,(dexamethasone/atrogin-1),22.0,"[nsubj, receptor, appos]",41.0
97,(pge2/egr-1),21.0,"[appos, mrna, amod]",7.0
98,(resveratrol/atf3),8.0,"[agent, decreased, nsubjpass, expression, nn]",7.0
99,(indomethacin/crth2),29.0,"[nsubj, induced, dobj, phosphorylation, prep_of]",117.0
100,(paclitaxel/tlr4),10.0,"[prep_on, receptor, appos]",98.0
101,(pertuzumab/erbb2),7.0,"[nsubj, increased, dobj, activity, prep_of]",7.0
102,(ethionamide/etha),20.0,"[nsubj, increased, dobj, expression, prep_of, mrna, amod]",15.0
103,(dexamethasone/cyp2e1),22.0,"[nsubj, reduced, dobj]",7.0
104,(gp120/ifn-gamma),8.0,"[prep_of, influence, appos]",7.0
105,(pge2/vegf),25.0,"[nsubj, substrates, prep_of]",54.0
106,(imatinib/hoct1),17.0,"[dobj, expression, prep_of]",54.0
107,(filgrastim/lenograstim),2.0,"[nsubj, affect, dobj, levels, nn]",54.0
108,(lenograstim/filgrastim),2.0,"[nsubj, increased, dobj, concentrations, nn]",116.0
109,(pioglitazone/ppar),7.0,"[dobj, inhibitors, nsubj]",86.0
110,(octreotide/vegf),4.0,"[prep_of, binding, amod]",41.0
