,Drug-Gene Pair Cluster,Dependency Path Cluster
0,28.0,55.0
1,0.0,10.0
2,18.0,0.0
3,0.0,64.0
4,0.0,95.0
5,18.0,87.0
6,4.0,0.0
7,0.0,27.0
8,22.0,0.0
9,1.0,92.0
10,14.0,29.0
11,26.0,20.0
12,14.0,0.0
13,20.0,0.0
14,20.0,57.0
15,22.0,0.0
16,19.0,20.0
17,14.0,0.0
18,0.0,85.0
19,22.0,10.0
20,2.0,0.0
21,2.0,24.0
22,10.0,10.0
23,6.0,10.0
24,8.0,85.0
25,3.0,57.0
26,0.0,65.0
27,19.0,57.0
28,29.0,57.0
29,23.0,10.0
30,14.0,119.0
31,18.0,84.0
32,26.0,91.0
33,18.0,57.0
34,14.0,0.0
35,28.0,92.0
36,27.0,20.0
37,27.0,10.0
38,27.0,64.0
39,21.0,57.0
40,27.0,10.0
41,2.0,56.0
42,0.0,57.0
43,0.0,10.0
44,25.0,39.0
45,20.0,0.0
46,23.0,121.0
47,7.0,10.0
48,9.0,0.0
49,15.0,123.0
50,18.0,68.0
51,2.0,19.0
52,14.0,0.0
53,26.0,86.0
54,2.0,0.0
55,0.0,10.0
56,2.0,54.0
57,14.0,0.0
58,11.0,60.0
59,23.0,0.0
60,2.0,0.0
61,14.0,0.0
62,2.0,85.0
63,23.0,0.0
64,18.0,0.0
65,14.0,22.0
66,14.0,0.0
67,23.0,22.0
68,18.0,24.0
69,14.0,14.0
70,26.0,103.0
71,18.0,0.0
72,22.0,68.0
73,4.0,105.0
74,10.0,41.0
75,18.0,115.0
76,2.0,10.0
77,2.0,36.0
78,18.0,10.0
79,2.0,71.0
80,23.0,57.0
81,14.0,0.0
82,14.0,105.0
83,10.0,35.0
84,0.0,57.0
85,8.0,0.0
86,2.0,56.0
87,14.0,117.0
88,6.0,77.0
89,14.0,63.0
90,26.0,0.0
91,20.0,119.0
92,14.0,116.0
93,26.0,0.0
94,27.0,0.0
95,11.0,10.0
96,25.0,110.0
97,10.0,0.0
98,5.0,36.0
99,23.0,0.0
100,2.0,10.0
101,23.0,0.0
102,29.0,111.0
103,14.0,78.0
104,2.0,20.0
105,18.0,20.0
106,14.0,10.0
107,15.0,10.0
108,2.0,0.0
109,23.0,73.0
110,2.0,0.0
111,14.0,57.0
112,19.0,0.0
113,24.0,65.0
114,18.0,0.0
115,2.0,15.0
116,6.0,20.0
117,2.0,10.0
118,13.0,20.0
119,18.0,1.0
120,3.0,10.0
121,26.0,62.0
122,2.0,31.0
123,23.0,124.0
124,24.0,113.0
125,25.0,0.0
126,18.0,46.0
127,21.0,44.0
128,29.0,25.0
129,25.0,98.0
130,23.0,0.0
131,23.0,0.0
132,18.0,10.0
133,8.0,116.0
134,26.0,61.0
135,22.0,60.0
136,8.0,89.0
137,26.0,68.0
138,14.0,79.0
139,10.0,1.0
140,14.0,105.0
141,2.0,84.0
142,23.0,58.0
143,23.0,92.0
144,0.0,58.0
145,14.0,35.0
146,18.0,78.0
147,18.0,100.0
148,2.0,92.0
149,23.0,58.0
150,18.0,87.0
151,22.0,0.0
152,25.0,9.0
153,23.0,99.0
154,23.0,0.0
155,8.0,0.0
156,8.0,0.0
157,28.0,121.0
158,4.0,0.0
159,25.0,26.0
160,10.0,0.0
161,14.0,0.0
162,10.0,108.0
163,7.0,17.0
164,7.0,18.0
165,2.0,17.0
166,1.0,7.0
167,11.0,0.0
168,18.0,0.0
169,0.0,12.0
170,14.0,0.0
171,2.0,7.0
172,2.0,0.0
173,23.0,0.0
174,25.0,98.0
175,18.0,0.0
176,0.0,0.0
177,2.0,98.0
178,8.0,0.0
179,0.0,0.0
180,23.0,81.0
181,10.0,0.0
182,26.0,12.0
183,5.0,17.0
184,18.0,20.0
185,2.0,81.0
186,14.0,91.0
187,13.0,86.0
188,2.0,109.0
189,2.0,119.0
190,23.0,119.0
191,2.0,17.0
192,19.0,0.0
193,0.0,112.0
194,16.0,2.0
195,0.0,22.0
196,2.0,22.0
197,23.0,22.0
198,2.0,22.0
199,23.0,22.0
200,6.0,22.0
201,18.0,0.0
202,8.0,57.0
203,22.0,11.0
204,15.0,47.0
205,3.0,0.0
206,26.0,0.0
207,14.0,0.0
208,0.0,0.0
209,10.0,16.0
210,14.0,0.0
211,23.0,85.0
212,19.0,0.0
213,19.0,20.0
214,14.0,35.0
215,22.0,0.0
216,27.0,0.0
217,9.0,0.0
218,18.0,0.0
219,22.0,3.0
220,24.0,0.0
221,23.0,0.0
222,0.0,0.0
223,0.0,0.0
224,17.0,0.0
225,7.0,0.0
226,18.0,0.0
227,17.0,0.0
228,2.0,0.0
229,10.0,0.0
230,18.0,0.0
231,18.0,0.0
232,15.0,0.0
233,1.0,0.0
234,18.0,0.0
235,0.0,0.0
236,14.0,0.0
237,14.0,0.0
238,14.0,0.0
239,18.0,115.0
240,22.0,0.0
241,1.0,24.0
242,2.0,87.0
243,23.0,0.0
244,14.0,0.0
245,10.0,0.0
246,14.0,0.0
247,2.0,0.0
248,3.0,0.0
249,24.0,0.0
250,22.0,0.0
251,11.0,0.0
252,14.0,66.0
253,14.0,78.0
254,2.0,0.0
255,11.0,77.0
256,23.0,0.0
257,14.0,0.0
