,druggene,row_indice
0,"(tnf-r2,tnf-r1)",1
7,"(tiludronate,vegf)",2
8,"(il-11,il-10)",3
14,"(il-2,il-5)",4
54,"(actd,actc)",5
55,"(il-11,il-16)",6
56,"(fgf-7,fgf-2)",7
58,"(urokinase,fmlp)",8
59,"(clopidogrel,p-selectin)",9
62,"(fgf-7,fgf-1)",10
64,"(il-11,il-13)",11
66,"(cd120b,cd120a)",12
69,"(isoflurane,caspase-3)",13
71,"(estradiol,bmpr1a)",14
72,"(duloxetine,icer)",15
73,"(zuclopenthixol,cyp2d6)",16
75,"(doxycycline,smad7)",17
76,"(il-2,il-1)",18
139,"(corticosteroids,leukotriene)",19
144,"(aminopterin,tangier)",20
145,"(il-11,il-18)",21
146,"(il-11,il-17)",22
147,"(tolbutamide,niddm)",23
148,"(budesonide,galectin-7)",24
150,"(collagenase,cartilage-derived)",25
151,"(pge2,pgd2)",26
168,"(losartan,urat1)",27
171,"(aldosterone,bmp-6)",28
173,"(il-11,il-27)",29
174,"(metformin,kcnq1)",30
175,"(tamoxifen,af-1)",31
176,"(forskolin,sf-1)",32
180,"(fluorescein,p-gp)",33
181,"(melatonin,p130)",34
182,"(everolimus,egfr)",35
183,"(nadh,nad1)",36
185,"(nadh,nad2)",37
186,"(nadh,nad3)",38
188,"(mitoxantrone,abcg2)",39
201,"(nadh,nad4)",40
204,"(brompheniramine,herg)",41
205,"(pge2,pges)",42
210,"(pgi2,pgis)",43
218,"(tamoxifen,ptpro)",44
220,"(pitavastatin,nf-kappab)",45
228,"(naproxen,il-1)",46
229,"(sevoflurane,cd36)",47
230,"(sevoflurane,ap-1)",48
232,"(cyclosporin,bcrp)",49
233,"(isotretinoin,mmp-13)",50
234,"(bleomycin,polq)",51
236,"(pge2,roat1)",52
237,"(sulfasalazine,spla2)",53
238,"(topotecan,vegf)",54
239,"(noradrenaline,endothelin-1)",55
245,"(melatonin,p100)",56
246,"(warfarin,ml-1)",57
247,"(arsenite,parp)",58
249,"(topotecan,dlts)",59
250,"(estradiol,cxcl11)",60
251,"(suramin,vegf)",61
253,"(staurosporine,hsp27)",62
255,"(prostacyclin,ml-1)",63
257,"(promethazine,herg)",64
262,"(valsartan,vegf)",65
263,"(n-acetylcysteine,hif-1alpha)",66
265,"(tamoxifen,brca1)",67
267,"(hydroxyurea,cdc2)",68
268,"(tamoxifen,brca2)",69
269,"(nutlin-3,hif-1)",70
270,"(hydroxyurea,cdc7)",71
271,"(glucosamine,o-glcnacase)",72
272,"(minocycline,osteocalcin)",73
273,"(pge2,pga1)",74
275,"(alendronate,icer)",75
276,"(deoxyadenosine,mononucleotide)",76
277,"(cisplatin,ghrl)",77
278,"(nadh,dt-diaphorase)",78
279,"(etoposide,adam10)",79
281,"(bleomycin,syndecan-4)",80
282,"(epirubicin,udp-glucuronosyltransferase)",81
283,"(glimepiride,drip205)",82
284,"(clenbuterol,beta3)",83
285,"(clenbuterol,beta2)",84
288,"(rosiglitazone,pepck)",85
289,"(baclofen,proenkephalin)",86
290,"(enalapril,icam-1)",87
291,"(doxazosin,alpha1)",88
293,"(cyclosporin,cox-2)",89
294,"(propofol,beta-endorphin)",90
295,"(n-acetylcysteine,mst1)",91
296,"(sevoflurane,cd31)",92
297,"(dexamethasone,atrogin-1)",93
302,"(rosuvastatin,ho-1)",94
305,"(halothane,herg)",95
307,"(resveratrol,atf3)",96
309,"(indomethacin,crth2)",97
312,"(cloxacillin,clox)",98
313,"(irap,gga1)",99
314,"(carbachol,ins-1)",100
315,"(aprotinin,tfpi)",101
316,"(atra,pedf)",102
317,"(fenamates,icat)",103
318,"(dexamethasone,igf-ii)",104
319,"(camptothecin,trex1)",105
320,"(epirubicin,filgrastim)",106
321,"(thyroxine,dheas)",107
322,"(modafinil,orexin)",108
323,"(ketanserin,herg)",109
324,"(pge2,tlr4)",110
325,"(bisphosphonates,ppiase)",111
326,"(coumarin,cyp3a4)",112
328,"(il-2,il2r)",113
331,"(naloxone,nocistatin)",114
332,"(doxycycline,slc26a4)",115
333,"(colchicine,etanercept)",116
334,"(atra,restin)",117
335,"(paclitaxel,trpa1)",118
337,"(fosinopril,aquaporin-1)",119
338,"(ng-monomethyl-l-arginine,inos)",120
342,"(rapamycin,cxcl12)",121
344,"(flunitrazepam,dheas)",122
345,"(busulfan,caf1)",123
346,"(il-1ra,il-1rn)",124
349,"(il-1rn,il-1ra)",125
352,"(il-11,cd62l)",126
353,"(estradiol,tebg)",127
356,"(clarithromycin,il-13)",128
357,"(capsaicin,cyclooxygenase-2)",129
360,"(estradiol,eag1)",130
361,"(levofloxacin,cyp1a2)",131
362,"(pilocarpine,znt3)",132
363,"(cyclosporine,hif-1alpha)",133
364,"(octreotide,adrenocorticotropin)",134
365,"(l-dopa,ghrh)",135
366,"(triiodothyronine,mgpdh)",136
367,"(norepinephrine,gnrh)",137
374,"(methoxamine,enos)",138
375,"(pgi2,pga1)",139
376,"(atorvastatin,klf2)",140
377,"(protamine,fa-1)",141
378,"(hydrocortisone,brca1)",142
379,"(calcidiol,osteocalcin)",143
380,"(progestogens,gnrh)",144
384,"(etanercept,cgrp)",145
386,"(minocycline,cd16)",146
388,"(minocycline,cd14)",147
