,path,column_indice
17532,"[prep_with, treatments, prep_to, resistant, nsubj, cells, rcmod, activated, nsubjpass, receptor, appos]",0
3229,"[prep_with, treatments, prep_to, resistant, nsubj, cells, rcmod, activated, nsubjpass, receptor, appos]",0
28922,"[nsubj, interfere, prep_by]",1
2353,"[nsubj, interfere, prep_by]",1
12658,"[nsubj, interfere, prep_by]",1
27751,"[infmod, patients, nn]",2
10469,"[infmod, patients, nn]",2
1886,"[nsubj, interacts, prep_with, receptor, appos]",3
10849,"[nsubj, interacts, prep_with, receptor, appos]",3
24711,"[nsubj, interacts, prep_with, receptor, appos]",3
24786,"[nn, administration, prep_to, mice, amod]",4
28086,"[nn, administration, prep_to, mice, amod]",4
21579,"[prep_of, use, appos, inhibitor, nn]",5
26082,"[prep_of, use, appos, inhibitor, nn]",5
6556,"[nn, synthase, prep_of, expression, appos]",6
27440,"[nn, synthase, prep_of, expression, appos]",6
2187,"[amod, plasminogen, amod, gene, appos]",7
9672,"[amod, plasminogen, amod, gene, appos]",7
17471,"[amod, plasminogen, amod, gene, appos]",7
23245,"[prep_for, receptor, appos]",8
13686,"[prep_for, receptor, appos]",8
28463,"[prep_for, receptor, appos]",8
28482,"[prep_for, receptor, appos]",8
11047,"[prep_for, receptor, appos]",8
3694,"[prep_for, receptor, appos]",8
862,"[prep_for, receptor, appos]",8
11070,"[prep_for, receptor, appos]",8
4662,"[prep_for, receptor, appos]",8
1294,"[prep_for, receptor, appos]",8
3583,"[nsubj, caused, prep_in, levels, nn]",9
21958,"[nsubj, caused, prep_in, levels, nn]",9
15917,"[nsubj, caused, prep_in, levels, nn]",9
1214,"[nsubj, caused, prep_in, levels, nn]",9
20795,"[nsubj, caused, prep_in, levels, nn]",9
5316,"[prep_with, inhibitor, appos]",10
12170,"[prep_with, inhibitor, appos]",10
9304,"[prep_with, inhibitor, appos]",10
3717,"[amod, promoter, appos]",11
2832,"[amod, promoter, appos]",11
22030,"[amod, promoter, appos]",11
1060,"[nsubj, induced, dobj, increase, prep_in, expression, nn]",12
25044,"[nsubj, induced, dobj, increase, prep_in, expression, nn]",12
3260,"[appos, modulator, nn]",13
12938,"[appos, modulator, nn]",13
14181,"[appos, modulator, nn]",13
20780,"[appos, modulator, nn]",13
24435,"[appos, modulator, nn]",13
22953,"[amod, agonist, amod]",14
22263,"[amod, agonist, amod]",14
7834,"[agent, upregulated, nsubjpass, mrna, nn]",15
4323,"[agent, upregulated, nsubjpass, mrna, nn]",15
12772,"[prep_on, function, amod]",16
11271,"[prep_on, function, amod]",16
27527,"[prep_on, function, amod]",16
24492,"[prep_on, function, amod]",16
1087,"[prep_on, function, amod]",16
14561,"[prep_with, treatment, prep_of, mice, nn]",17
