Lepirudin	F2
Cetuximab	EGFR
Cetuximab	FCGR3B
Cetuximab	C1QA
Cetuximab	C1QB
Cetuximab	C1QC
Cetuximab	FCGR3A
Cetuximab	FCGR1A
Cetuximab	FCGR2A
Denileukin diftitox	IL2RA
Denileukin diftitox	IL2RB
Denileukin diftitox	IL2RG
Etanercept	TNF
Etanercept	FCGR1A
Etanercept	FCGR2A
Etanercept	FCGR2B
Etanercept	FCGR2C
Etanercept	FCGR3A
Etanercept	FCGR3B
Etanercept	LTA
Etanercept	C1QA
Etanercept	C1QB
Etanercept	C1QC
Bivalirudin	F2
Bivalirudin	MPO
Leuprolide	GNRHR
Peginterferon alfa-2a	IFNAR2
Peginterferon alfa-2a	IFNAR1
Peginterferon alfa-2a	CYP1A2
Alteplase	PLG
Alteplase	FGA
Alteplase	PLAUR
Alteplase	SERPINE1
Sermorelin	GHRHR
Interferon alfa-n1	IFNAR2
Interferon alfa-n1	IFNAR1
Interferon alfa-n1	CYP1A2
Darbepoetin alfa	EPOR
Urokinase	PLG
Urokinase	PLAUR
Urokinase	SERPINE1
Urokinase	SERPINB2
Urokinase	SERPINA5
Urokinase	LRP2
Urokinase	ST14
Urokinase	NID1
Urokinase	MMP12
Goserelin	LHCGR
Goserelin	GNRHR
Reteplase	PLG
Reteplase	FGA
Reteplase	SERPINE1
Erythropoietin	EPOR
Salmon calcitonin	CALCR
Interferon alfa-n3	IFNAR1
Interferon alfa-n3	IFNAR2
Interferon alfa-n3	CYP1A2
Pegfilgrastim	CSF3R
Pegfilgrastim	ELANE
Sargramostim	CSF2RA
Sargramostim	IL3RA
Sargramostim	CSF2RB
Sargramostim	SDC2
Sargramostim	PRG2
Peginterferon alfa-2b	IFNAR1
Peginterferon alfa-2b	IFNAR2
Peginterferon alfa-2b	CYP1A2
Peginterferon alfa-2b	CYP2D6
Peginterferon alfa-2b	CYP2C9
Asparaginase Escherichia coli	SERPINA7
Thyrotropin alfa	TSHR
Antihemophilic factor, human recombinant	F10
Antihemophilic factor, human recombinant	F9
Antihemophilic factor, human recombinant	VWF
Antihemophilic factor, human recombinant	PHYH
Antihemophilic factor, human recombinant	ASGR2
Antihemophilic factor, human recombinant	HSPA5
Antihemophilic factor, human recombinant	CALR
Antihemophilic factor, human recombinant	CANX
Antihemophilic factor, human recombinant	LMAN1
Antihemophilic factor, human recombinant	LRP1
Antihemophilic factor, human recombinant	MCFD2
Antihemophilic factor, human recombinant	F2
Antihemophilic factor, human recombinant	PROC
Anakinra	IL1R1
Gramicidin D	ABCB1
Human immunoglobulin G	FCGR1A
Human immunoglobulin G	FCGR1B
Human immunoglobulin G	FCGR2A
Human immunoglobulin G	FCGR2B
Human immunoglobulin G	FCGR2C
Human immunoglobulin G	FCGR3A
Human immunoglobulin G	FCGR3B
Human immunoglobulin G	C3
Human immunoglobulin G	C4A
Human immunoglobulin G	C4B
Human immunoglobulin G	C5
Anistreplase	PLG
Anistreplase	FGA
Anistreplase	SERPINE1
Insulin human	INSR
Insulin human	IGF1R
Insulin human	RB1
Insulin human	CPE
Insulin human	IDE
Insulin human	PCSK2
Insulin human	PCSK1
Insulin human	CYP1A2
Tenecteplase	PLG
Tenecteplase	FGA
Tenecteplase	PLAUR
Tenecteplase	SERPINE1
Tenecteplase	SERPINB2
Tenecteplase	CLEC3B
Tenecteplase	KRT8
Tenecteplase	ANXA2
Tenecteplase	CALR
Tenecteplase	CANX
Tenecteplase	LRP1
Menotropins	FSHR
Menotropins	LHCGR
Interferon gamma-1b	IFNGR1
Interferon gamma-1b	IFNGR2
Interferon gamma-1b	CYP1A2
Interferon alfa-2a, Recombinant	IFNAR1
Interferon alfa-2a, Recombinant	IFNAR2
Interferon alfa-2a, Recombinant	CYP1A2
Desmopressin	AVPR2
Desmopressin	AVPR1A
Desmopressin	AVPR1B
Desmopressin	PTGS1
Desmopressin	PTGS2
Coagulation factor VIIa Recombinant Human	F10
Coagulation factor VIIa Recombinant Human	TFPI
Coagulation factor VIIa Recombinant Human	GGCX
Coagulation factor VIIa Recombinant Human	F7
Coagulation factor VIIa Recombinant Human	F3
Oprelvekin	IL11RA
Palifermin	FGFR2
Palifermin	FGFR1
Palifermin	HSPG2
Glucagon	GCGR
Glucagon	GLP2R
Glucagon	GLP1R
Aldesleukin	IL2RB
Aldesleukin	IL2RA
Aldesleukin	IL2RG
