"","label","count","pgkb","drugbank"
"1","(flavopiridol,nf-kappab)",10,0,0
"2","(tnf-r2,tnf-r1)",50,0,0
"3","(il-2,il-5)",317,0,0
"4","(il-11,il-10)",20,0,0
"5","(fgf-7,fgf-2)",10,0,0
"6","(clopidogrel,p-selectin)",20,0,0
"7","(fgf-7,fgf-1)",14,0,0
"8","(il-11,il-13)",7,0,0
"9","(propranolol,beta2)",13,0,0
"10","(isoflurane,caspase-3)",21,0,0
"11","(indomethacin,phospholipase)",67,0,0
"12","(anti-il-2,cd25)",10,0,0
"13","(zuclopenthixol,cyp2d6)",6,1,0
"14","(doxycycline,smad7)",10,0,0
"15","(il-2,il-1)",890,0,0
"16","(corticosteroids,leukotriene)",87,0,0
"17","(gliclazide,niddm)",37,0,0
"18","(tolbutamide,niddm)",6,0,0
"19","(dipyridamole,pde5)",11,0,1
"20","(geldanamycin,hsp90)",528,0,1
"21","(melatonin,bcl-2)",41,0,0
"22","(carbamates,faah)",10,0,0
"23","(pge2,pgd2)",242,0,0
"24","(losartan,urat1)",8,0,0
"25","(aldosterone,bmp-6)",18,0,0
"26","(gm-csf,il-13)",26,0,0
"27","(prostacyclin,cox-1)",36,0,0
"28","(astemizole,cyp2j2)",10,1,0
"29","(prostacyclin,cox-2)",106,0,0
"30","(gm-csf,il-15)",17,0,0
"31","(amiloride,kallikrein)",34,0,0
"32","(diphenhydramine,cyp2d6)",19,0,0
"33","(gm-csf,il-10)",128,0,0
"34","(valsartan,adiponectin)",5,0,0
"35","(forskolin,sf-1)",13,0,0
"36","(gm-csf,il-11)",17,0,0
"37","(il-11,gm-csf)",17,0,0
"38","(capecitabine,dlts)",12,0,0
"39","(pranlukast,cyslt1)",14,1,1
"40","(cetuximab,egfr)",630,0,1
"41","(gm-csf,il-18)",24,0,0
"42","(cysteamine,gastrin)",37,0,0
"43","(nadh,nad1)",8,0,1
"44","(nadh,nad3)",7,0,1
"45","(telmisartan,abca1)",10,0,0
"46","(abciximab,p-selectin)",5,0,0
"47","(capsaicin,ppargamma)",9,0,0
"48","(mitoxantrone,abcg2)",90,0,0
"49","(nadh,nad4)",8,0,1
"50","(vinblastine,mdr1)",40,0,0
"51","(glyburide,cyp2c9)",8,0,0
"52","(pgi2,pgis)",33,0,1
"53","(pge2,pges)",35,0,0
"54","(pitavastatin,nf-kappab)",22,0,0
"55","(glibenclamide,cftr)",96,0,1
"56","(genistein,ifn-gamma)",10,0,0
"57","(atra,mef2c)",5,0,0
"58","(cyclosporine,statin)",6,0,0
"59","(genistein,aromatase)",15,0,0
"60","(vardenafil,pde5)",89,0,1
"61","(lansoprazole,ho-1)",11,0,0
"62","(noradrenaline,endothelin-1)",40,0,0
"63","(il-2,nf-kappab)",83,0,0
"64","(arsenite,parp)",7,0,0
"65","(flutamide,lhrh)",29,0,0
"66","(d-amphetamine,amph)",40,0,0
"67","(lovastatin,cyp3a4)",18,1,0
"68","(topotecan,dlts)",10,0,0
"69","(suramin,vegf)",9,0,0
"70","(hydroquinone,dt-diaphorase)",12,0,0
"71","(dexamethasone,lactase)",7,0,0
"72","(tamoxifen,heparanase)",6,0,0
"73","(tamoxifen,her-2)",36,0,0
"74","(risperidone,cyp2d6)",93,1,0
"75","(staurosporine,hsp27)",13,0,0
"76","(atorvastatin,pcsk9)",16,0,0
"77","(promethazine,herg)",6,0,0
"78","(sildenafil,copd)",15,0,0
"79","(rituximab,bcl-2)",31,0,0
"80","(lovastatin,p21ras)",18,0,0
"81","(fenofibrate,ldlr)",10,0,0
"82","(pge2,pga1)",31,0,0
"83","(melatonin,gnrh)",129,0,0
"84","(cimetidine,cyp3a)",6,0,0
"85","(5-asa,inos)",5,0,0
"86","(rabeprazole,mucin)",9,0,0
"87","(dexamethasone,icam-1)",47,0,0
"88","(clenbuterol,beta2)",13,0,0
"89","(rosiglitazone,pepck)",6,0,0
"90","(oltipraz,nrf2)",14,0,0
"91","(doxazosin,alpha1)",14,0,1
"92","(cyclosporin,cox-2)",8,0,0
"93","(ddavp,p-selectin)",8,0,0
"94","(troglitazone,ppargamma)",277,0,1
"95","(curcumin,ho-1)",92,0,0
"96","(propofol,beta-endorphin)",10,0,0
"97","(dexamethasone,atrogin-1)",12,0,0
"98","(pge2,egr-1)",8,0,0
"99","(resveratrol,atf3)",6,0,0
"100","(indomethacin,crth2)",10,0,1
"101","(paclitaxel,tlr4)",10,0,0
"102","(pertuzumab,erbb2)",10,1,1
"103","(ethionamide,etha)",9,0,0
"104","(dexamethasone,cyp2e1)",8,0,0
"105","(gp120,ifn-gamma)",20,0,0
"106","(pge2,vegf)",56,0,0
"107","(imatinib,hoct1)",16,0,0
"108","(filgrastim,lenograstim)",39,0,0
"109","(lenograstim,filgrastim)",39,0,0
"110","(pioglitazone,ppar)",80,0,0
"111","(octreotide,vegf)",18,0,0
"112","(geldanamycin,hsp70)",9,0,0
"113","(corticosteroids,pprom)",14,0,0
"114","(paclitaxel,vegf)",33,0,0
"115","(epirubicin,filgrastim)",12,0,0
"116","(nebivolol,enos)",7,0,0
"117","(minocycline,fmr1)",10,0,0
"118","(il-2,csf-1)",22,0,0
"119","(gm-csf,flt3l)",8,0,0
"120","(losartan,cyp3a4)",6,1,0
"121","(modafinil,orexin)",9,0,0
"122","(succinylcholine,nachr)",6,0,0
"123","(coumarin,cyp3a4)",6,0,0
"124","(mifepristone,cox-1)",6,0,0
"125","(quetiapine,cyp3a4)",21,1,0
"126","(octreotide,calcitonin)",7,0,0
"127","(rapamycin,pten)",58,0,0
"128","(il-2,il2r)",9,0,1
"129","(tolbutamide,cyp2c)",9,0,0
"130","(imatinib,c-abl)",65,1,1
"131","(succinyldicholine,cholinesterase)",5,1,0
"132","(fluvastatin,nf-kappab)",6,0,0
"133","(naloxone,cgrp)",7,0,0
"134","(ng-monomethyl-l-arginine,inos)",21,0,0
"135","(cisplatin,caspase-9)",18,0,0
"136","(cisplatin,caspase-8)",16,0,0
"137","(resveratrol,mtor)",19,0,0
"138","(donepezil,igf-i)",8,0,0
"139","(hyaluronan,aggrecan)",78,0,0
"140","(nadh,sir2)",8,0,0
"141","(citalopram,sert)",53,0,1
"142","(il-1rn,il-1ra)",18,0,0
"143","(il-1ra,il-1rn)",18,0,0
"144","(estradiol,tebg)",11,0,0
"145","(capsaicin,cyclooxygenase-2)",7,0,0
"146","(alendronate,mmp-9)",6,0,0
"147","(flurbiprofen,cox-1)",10,0,1
"148","(flurbiprofen,cox-2)",21,0,1
"149","(imipramine,fmo1)",6,0,0
"150","(l-dopa,ghrh)",12,0,0
"151","(azathioprine,etanercept)",7,0,0
"152","(alendronate,mmp-2)",10,0,0
"153","(valganciclovir,pept1)",5,0,0
"154","(norepinephrine,gnrh)",46,0,0
